package-name,Possible obfuscations,Length 1 identifier,Length 2 identifier,Length 3 identifier,new StringBuilder\(\),\bkotlin\b,\b.kotlin\b,@NotNull,Reflection
com.mautilus.icflix,"[('DP', 1), ('PX', 1), ('SP', 2), ('to', 6), ('api', 1), ('max', 29), ('min', 28), ('TAG', 216), ('run', 522), ('cmd', 1), ('add', 173), ('mId', 10), ('tag', 26), ('b', 11), ('all', 7), ('id', 39), ('get', 574), ('pkg', 1), ('LRE', 1), ('LRM', 1), ('PDF', 2), ('RLE', 1), ('RLM', 1), ('LTR', 2), ('RTL', 2), ('end', 37), ('url', 31), ('put', 140), ('INT', 2), ('gc', 2), ('map', 57), ('TLD', 1), ('TAP', 1), ('END', 1), ('x', 24), ('xBy', 5), ('y', 24), ('yBy', 5), ('z', 17), ('zBy', 5), ('mX', 1), ('mY', 1), ('mTo', 1), ('P', 1), ('C1', 5), ('C2', 5), ('C3', 1), ('DAY', 1), ('J0', 1), ('top', 5), ('up', 8), ('DBG', 2), ('mID', 9), ('mRS', 8), ('w', 13), ('A_8', 1), ('F32', 1), ('F64', 1), ('I16', 1), ('I32', 1), ('I64', 1), ('I8', 1), ('U16', 1), ('U32', 1), ('U64', 1), ('U8', 1), ('set', 82), ('LOW', 4), ('mN', 2), ('mFP', 1), ('APP', 1), ('WEB', 2), ('as', 1), ('key', 37), ('CR', 3), ('LF', 3), ('buf', 4), ('in', 14), ('pos', 8), ('act', 1), ('ih', 1), ('iw', 1), ('ix', 1), ('iy', 1), ('lct', 1), ('gct', 1), ('err', 1), ('out', 5), ('EOF', 1), ('uri', 12), ('ALL', 2), ('cb', 2), ('cbs', 2), ('now', 2), ('GIF', 2), ('PNG', 2), ('is', 3), ('ID', 44), ('log', 80), ('kit', 6), ('URL', 4), ('ME', 1), ('GET', 4), ('ref', 4), ('e2e', 2), ('TOP', 2), ('REF', 1), ('zza', 1373), ('zzf', 71), ('zze', 80), ('zzu', 17), ('zzT', 8), ('zzp', 26), ('zzs', 22), ('zzU', 9), ('zzo', 24), ('zzd', 110), ('zzb', 414), ('zzm', 21), ('zzn', 26), ('zzc', 189), ('zzk', 23), ('zzg', 55), ('zzh', 45), ('zzi', 36), ('zzj', 24), ('zzq', 21), ('zzQ', 6), ('zzR', 6), ('zzV', 10), ('API', 7), ('zzx', 20), ('zzw', 13), ('zzW', 9), ('zzl', 15), ('zzJ', 11), ('zzB', 10), ('zzA', 15), ('zzy', 17), ('zzC', 16), ('zzZ', 9), ('zzt', 13), ('zzr', 19), ('zzD', 12), ('zzE', 12), ('zzF', 12), ('zzG', 13), ('zzv', 64), ('zzz', 14), ('zzH', 10), ('zzI', 8), ('zzL', 7), ('zzK', 9), ('zzO', 7), ('zzM', 6), ('zzN', 6), ('zzX', 5), ('zzP', 6), ('uid', 1), ('zzY', 39), ('zzS', 6), ('v', 13), ('TAX', 1), ('e', 15), ('cc', 6), ('of', 105), ('or', 17), ('ACK', 1), ('BEL', 1), ('BS', 1), ('CAN', 1), ('DC1', 1), ('DC2', 1), ('DC3', 1), ('DC4', 1), ('DEL', 1), ('DLE', 1), ('EM', 1), ('ENQ', 1), ('EOT', 2), ('ESC', 1), ('ETB', 1), ('ETX', 1), ('FF', 1), ('FS', 1), ('GS', 1), ('HT', 1), ('MAX', 1), ('MIN', 1), ('NAK', 1), ('NL', 1), ('NUL', 1), ('RS', 1), ('SI', 1), ('SO', 1), ('SOH', 1), ('STX', 1), ('SUB', 1), ('SYN', 1), ('US', 1), ('VT', 1), ('XON', 1), ('ANY', 2), ('and', 8), ('f', 2), ('g', 2), ('on', 7), ('p', 1), ('not', 1), ('sum', 5), ('fn', 2), ('p0', 1), ('p1', 1), ('p2', 1), ('p3', 1), ('p4', 1), ('p5', 1), ('p6', 1), ('q0', 1), ('q1', 3), ('q2', 3), ('q3', 3), ('q4', 1), ('q5', 1), ('q6', 1), ('cas', 1), ('rng', 1), ('row', 13), ('at', 1), ('c', 3), ('j', 1), ('o', 1), ('t', 1), ('any', 2), ('KEY', 1), ('i', 10), ('m', 1), ('s', 2), ('MD5', 1), ('md5', 3), ('h1', 2), ('h2', 1), ('d', 13), ('v0', 1), ('v1', 1), ('v2', 1), ('v3', 1), ('k0', 1), ('k1', 1), ('seq', 2), ('it', 2), ('gcd', 2), ('mod', 5), ('pow', 2), ('AGE', 1), ('DNT', 1), ('P3P', 1), ('TE', 1), ('VIA', 1), ('BMP', 1), ('CRW', 1), ('ICO', 1), ('KML', 1), ('KMZ', 1), ('PSD', 1), ('TAR', 1), ('WMV', 1), ('ZIP', 1), ('ONE', 2), ('var', 1), ('NEW', 1), ('has', 3), ('URI', 2), ('IO', 3), ('bg', 1), ('fav', 1), ('ff', 1), ('rew', 1), ('ok', 2), ('SDL', 2), ('SPB', 2), ('COM', 2), ('ARA', 1), ('ENG', 1), ('FRA', 1), ('LOG', 12), ('drm', 1), ('du', 1), ('mtc', 1), ('NUM', 1), ('num', 1), ('HLS', 2), ('fcc', 1), ('a', 1), ('r', 1), ('zip', 1), ('sId', 1), ('DRM', 1), ('PD', 1), ('PUT', 3), ('pd', 5), ('mTv', 1), ('dm', 1), ('pop', 4), ('tap', 1), ('zop', 1), ('txt', 1), ('cmp', 1), ('Log', 2), ('MAP', 2), ('SET', 1), ('SDK', 1), ('FIN', 1), ('crc', 3), ('res', 1), ('bb', 1), ('eat', 1), ('LTE', 1), ('RTT', 1), ('OK', 1), ('_', 4), ('Any', 1), ('PID', 1), ('inc', 2), ('tic', 1), ('toc', 1), ('CPU', 1), ('PXD', 1), ('TV', 1), ('me', 2), ('ip', 1), ('udn', 1), ('pin', 1), ('tls', 2), ('hex', 2), ('GMT', 1), ('beg', 1), ('cur', 1), ('dn', 1), ('LL', 1), ('Top', 1), ('PPC', 1), ('raf', 1), ('_id', 1), ('_os', 1), ('Add', 1), ('LLQ', 1), ('UL', 1), ('_in', 1), ('sp', 1), ('sb', 1), ('obfuscation-score', 0.007040720863082758)]",38,37,494,2515,0,0,0,"[('java.lang.reflect.Method', 134), ('java.lang.reflect.Field', 79), ('java.lang.reflect.Array', 51), ('java.lang.reflect.Modifier', 19), ('java.lang.reflect.InvocationTargetException', 56), ('java.lang.reflect.Constructor', 20), ('java.lang.reflect.TypeToken', 346), ('java.lang.reflect.Proxy', 7), ('java.lang.reflect.AbstractInvocationHandler', 2), ('java.lang.reflect.ClassPath', 40), ('java.lang.reflect.Reflection', 2), ('java.lang.reflect.AccessibleObject', 7), ('java.lang.reflect.Member', 1), ('java.lang.reflect.Element', 3), ('java.lang.reflect.ImmutableTypeToInstanceMap', 10), ('java.lang.reflect.Invokable', 10), ('java.lang.reflect.Type', 552), ('java.lang.reflect.Parameter', 4), ('java.lang.reflect.ParameterizedType', 154), ('java.lang.reflect.TypeVariable', 98), ('java.lang.reflect.Types', 123), ('java.lang.reflect.MutableTypeToInstanceMap', 7), ('java.lang.reflect.InvocationHandler', 2), ('java.lang.reflect.TypeParameter', 4), ('java.lang.reflect.WildcardType', 112), ('java.lang.reflect.GenericArrayType', 84), ('java.lang.reflect.TypeResolver', 56), ('java.lang.reflect.GenericDeclaration', 4), ('java.lang.reflect.UndeclaredThrowableException', 3)]"
com.hodanet.jiangwen,"[('a', 2334), ('b', 891), ('c', 557), ('d', 413), ('e', 304), ('f', 243), ('g', 200), ('h', 155), ('i', 136), ('j', 111), ('k', 92), ('l', 77), ('m', 65), ('n', 54), ('o', 47), ('p', 42), ('q', 37), ('r', 34), ('s', 31), ('run', 87), ('A', 14), ('B', 13), ('C', 12), ('D', 8), ('E', 8), ('F', 8), ('G', 8), ('H', 8), ('I', 8), ('J', 8), ('K', 7), ('L', 6), ('M', 6), ('N', 6), ('O', 6), ('P', 6), ('Q', 6), ('R', 5), ('S', 5), ('T', 4), ('U', 3), ('V', 2), ('W', 2), ('X', 1), ('t', 27), ('u', 24), ('v', 21), ('w', 21), ('x', 19), ('y', 17), ('z', 15), ('Y', 1), ('Z', 2), ('ad', 1), ('aa', 1), ('ab', 1), ('ac', 1), ('ae', 1), ('af', 1), ('add', 3), ('get', 7), ('set', 3), ('map', 2), ('put', 10), ('out', 2), ('asm', 2), ('INT', 2), ('STR', 1), ('key', 4), ('cw', 1), ('DUP', 1), ('I2B', 1), ('I2C', 1), ('I2S', 1), ('JSR', 1), ('LDC', 1), ('NEW', 2), ('NOP', 1), ('POP', 1), ('RET', 1), ('buf', 3), ('len', 1), ('off', 1), ('pos', 3), ('END', 1), ('EOI', 1), ('bp', 1), ('ch', 1), ('np', 1), ('sp', 1), ('EOF', 1), ('SET', 1), ('var', 4), ('obj', 1), ('KEY', 1), ('CA', 1), ('IA', 1), ('low', 1), ('fwR', 1), ('log', 1), ('dd', 2), ('de', 2), ('di', 2), ('dw', 2), ('LOG', 1), ('obfuscation-score', 0.5191198392152316)]",6130,21,156,620,0,0,0,"[('java.lang.reflect.Modifier', 26), ('java.lang.reflect.Type', 183), ('java.lang.reflect.Array', 11), ('java.lang.reflect.Method', 13), ('java.lang.reflect.ParameterizedType', 50), ('java.lang.reflect.WildcardType', 5), ('java.lang.reflect.TypeVariable', 9), ('java.lang.reflect.Field', 15), ('java.lang.reflect.Constructor', 12), ('java.lang.reflect.Proxy', 3), ('java.lang.reflect.GenericArrayType', 2)]"
com.HSBapp.MShuncai,"[('cmd', 1), ('add', 8), ('TAG', 15), ('run', 16), ('tag', 1), ('mId', 2), ('b', 39), ('get', 7), ('gc', 2), ('put', 3), ('map', 1), ('TAP', 1), ('mTo', 1), ('pre', 2), ('sms', 2), ('msg', 2), ('id', 2), ('a', 97), ('c', 24), ('d', 18), ('e', 12), ('f', 10), ('g', 10), ('h', 10), ('i', 8), ('j', 8), ('k', 6), ('l', 6), ('m', 2), ('n', 2), ('o', 1), ('p', 1), ('q', 1), ('key', 1), ('obfuscation-score', 0.06111569202227682)]",255,4,63,219,0,0,0,"[('java.lang.reflect.Modifier', 1), ('java.lang.reflect.Method', 28), ('java.lang.reflect.Constructor', 4)]"
com.lee.changelockscreen,"[('cmd', 1), ('TAG', 22), ('run', 108), ('add', 9), ('mId', 2), ('get', 7), ('gc', 2), ('put', 3), ('map', 1), ('dta', 1), ('a', 1098), ('d', 220), ('b', 460), ('c', 290), ('e', 165), ('f', 129), ('g', 106), ('h', 88), ('i', 78), ('A', 16), ('B', 12), ('C', 11), ('D', 10), ('E', 9), ('F', 8), ('G', 8), ('H', 8), ('I', 7), ('J', 7), ('K', 7), ('L', 7), ('j', 64), ('k', 57), ('l', 51), ('m', 46), ('n', 43), ('o', 40), ('p', 39), ('q', 36), ('r', 34), ('s', 33), ('t', 27), ('u', 26), ('v', 26), ('w', 25), ('x', 23), ('y', 22), ('z', 17), ('M', 5), ('cen', 1), ('N', 4), ('O', 4), ('P', 4), ('Q', 4), ('R', 4), ('S', 3), ('T', 3), ('U', 3), ('V', 3), ('W', 2), ('X', 2), ('Y', 2), ('Z', 2), ('aa', 2), ('ab', 4), ('ac', 3), ('ad', 3), ('ae', 3), ('af', 3), ('ag', 3), ('ah', 3), ('ai', 3), ('aj', 3), ('ctx', 4), ('sp', 2), ('aab', 1), ('aac', 1), ('aad', 1), ('aae', 1), ('aaf', 1), ('aag', 1), ('aah', 1), ('ak', 2), ('am', 2), ('an', 2), ('ao', 2), ('ap', 2), ('aq', 2), ('ar', 2), ('as', 2), ('at', 2), ('au', 2), ('av', 2), ('aw', 2), ('ax', 2), ('ay', 2), ('az', 2), ('pru', 1), ('qai', 1), ('qdn', 1), ('qp', 1), ('qtt', 1), ('qv', 1), ('cop', 1), ('cp', 1), ('hd', 1), ('mh', 1), ('mmg', 1), ('nf', 1), ('ou', 1), ('pB', 1), ('pI', 1), ('pr', 1), ('sow', 1), ('t2', 1), ('t3', 1), ('urp', 1), ('con', 1), ('LOG', 1), ('aA', 1), ('aB', 1), ('aC', 1), ('aD', 1), ('aE', 1), ('aF', 1), ('aG', 1), ('aH', 1), ('aI', 1), ('aJ', 1), ('aK', 1), ('aL', 1), ('aM', 1), ('aN', 1), ('aO', 1), ('aP', 1), ('aQ', 1), ('al', 1), ('No', 1), ('Yes', 1), ('mTo', 1), ('obfuscation-score', 0.37434090171384876)]",3398,95,178,800,0,0,0,"[('java.lang.reflect.Array', 2), ('java.lang.reflect.Modifier', 1), ('java.lang.reflect.Method', 2)]"
fkjsgmjl.ceinnykas,"[('run', 4), ('obfuscation-score', 0.0007104214343129276)]",0,0,4,2,0,0,0,"[('java.lang.reflect.Method', 353)]"
com.smartprojects.RAMOptimization,"[('to', 2), ('max', 1), ('min', 1), ('run', 49), ('TAG', 65), ('cmd', 1), ('add', 20), ('tag', 3), ('mId', 4), ('b', 117), ('all', 1), ('id', 3), ('get', 15), ('LRE', 1), ('LRM', 1), ('PDF', 1), ('RLE', 1), ('RLM', 1), ('LTR', 1), ('RTL', 1), ('put', 6), ('gc', 2), ('map', 1), ('TAP', 1), ('END', 1), ('x', 12), ('xBy', 5), ('y', 11), ('yBy', 5), ('z', 9), ('zBy', 5), ('mX', 1), ('mY', 1), ('mTo', 1), ('P', 2), ('end', 1), ('up', 1), ('a', 337), ('c', 81), ('d', 59), ('e', 42), ('f', 34), ('g', 30), ('h', 27), ('i', 22), ('j', 19), ('k', 17), ('l', 15), ('m', 14), ('n', 13), ('o', 10), ('p', 11), ('q', 10), ('r', 10), ('s', 10), ('t', 8), ('u', 8), ('v', 8), ('w', 7), ('DBG', 2), ('A', 3), ('B', 3), ('C', 3), ('D', 2), ('E', 2), ('F', 2), ('G', 2), ('H', 2), ('I', 2), ('J', 2), ('K', 2), ('L', 1), ('M', 1), ('N', 1), ('O', 1), ('Q', 1), ('R', 1), ('S', 1), ('T', 1), ('U', 1), ('V', 1), ('W', 1), ('X', 1), ('Y', 1), ('Z', 1), ('aa', 1), ('ab', 1), ('ac', 1), ('obfuscation-score', 0.05603212105775731)]",982,13,195,455,0,0,0,"[('java.lang.reflect.Modifier', 1), ('java.lang.reflect.InvocationTargetException', 10), ('java.lang.reflect.Method', 8), ('java.lang.reflect.Array', 1), ('java.lang.reflect.Constructor', 5), ('java.lang.reflect.Field', 3)]"
com.chaojiyijianrootdashi95423,"[('red', 1), ('bg', 1), ('app', 1), ('su', 1), ('a', 153), ('b', 58), ('c', 36), ('d', 22), ('e', 14), ('f', 11), ('g', 11), ('h', 9), ('i', 9), ('j', 9), ('run', 29), ('k', 7), ('l', 7), ('m', 7), ('n', 7), ('p', 6), ('o', 6), ('q', 5), ('A', 2), ('B', 2), ('C', 2), ('D', 2), ('E', 2), ('r', 3), ('s', 3), ('t', 2), ('u', 2), ('v', 2), ('w', 2), ('x', 2), ('y', 2), ('z', 2), ('F', 1), ('G', 1), ('H', 1), ('I', 1), ('J', 1), ('eof', 1), ('end', 2), ('get', 2), ('opt', 2), ('put', 21), ('map', 1), ('has', 1), ('top', 1), ('pop', 1), ('key', 1), ('AMP', 1), ('EQ', 1), ('GT', 1), ('LT', 1), ('obfuscation-score', 0.3793861675190631)]",412,5,65,20,0,0,0,"[('java.lang.reflect.Field', 3), ('java.lang.reflect.Array', 2), ('java.lang.reflect.Method', 2), ('java.lang.reflect.Modifier', 1)]"
com.LZKapp.YEzhiliKF,"[('run', 42), ('id', 2), ('x', 1), ('y', 1), ('z', 1), ('win', 3), ('TAG', 25), ('PNG', 1), ('get', 9), ('opt', 1), ('url', 1), ('iso', 1), ('app', 2), ('GSM', 1), ('LTE', 1), ('UMB', 1), ('d', 5), ('e', 5), ('i', 3), ('v', 3), ('w', 3), ('ctx', 2), ('OK', 1), ('mId', 2), ('cmd', 1), ('add', 8), ('tag', 1), ('b', 6), ('TAP', 1), ('gc', 2), ('put', 3), ('map', 1), ('mTo', 1), ('a', 14), ('h', 1), ('c', 4), ('f', 2), ('g', 4), ('obfuscation-score', 0.012467350169702289)]",53,5,108,345,0,0,0,"[('java.lang.reflect.Method', 3), ('java.lang.reflect.InvocationTargetException', 8), ('java.lang.reflect.Field', 2), ('java.lang.reflect.Constructor', 2), ('java.lang.reflect.Modifier', 1)]"
com.droid.bimo,"[('a', 732), ('b', 460), ('c', 183), ('d', 151), ('run', 4), ('e', 122), ('f', 116), ('g', 91), ('h', 74), ('i', 60), ('k', 42), ('l', 37), ('m', 32), ('n', 30), ('j', 54), ('o', 22), ('p', 19), ('q', 16), ('r', 14), ('s', 13), ('t', 12), ('u', 12), ('v', 11), ('w', 10), ('x', 9), ('y', 9), ('A', 5), ('B', 4), ('C', 3), ('D', 2), ('E', 2), ('F', 2), ('G', 2), ('H', 2), ('I', 2), ('J', 2), ('K', 1), ('z', 5), ('L', 1), ('M', 1), ('obfuscation-score', 0.7247369304941625)]",2365,0,4,89,0,0,0,"[('java.lang.reflect.Method', 2)]"
info.eeeieke.jedecdleceeebed,"[('a', 302), ('b', 106), ('c', 74), ('d', 48), ('e', 26), ('f', 24), ('g', 23), ('h', 20), ('i', 11), ('j', 7), ('k', 9), ('l', 7), ('m', 4), ('n', 4), ('o', 3), ('p', 3), ('q', 3), ('r', 3), ('s', 3), ('v', 2), ('t', 1), ('u', 1), ('run', 9), ('w', 1), ('obfuscation-score', 0.6045973722899819)]",685,0,9,35,0,0,0,"[('java.lang.reflect.Method', 3)]"
com.wl.wyyx.ttkpsjbwg,"[('mTo', 1), ('TAP', 1), ('TAG', 15), ('run', 61), ('gc', 2), ('get', 8), ('put', 4), ('map', 1), ('mId', 2), ('cmd', 1), ('add', 10), ('tag', 1), ('b', 261), ('a', 661), ('c', 162), ('d', 114), ('e', 84), ('f', 63), ('g', 55), ('h', 48), ('i', 43), ('j', 40), ('k', 34), ('l', 31), ('m', 28), ('n', 26), ('o', 26), ('p', 24), ('q', 23), ('r', 20), ('s', 19), ('t', 18), ('A', 9), ('B', 8), ('C', 6), ('D', 6), ('E', 6), ('F', 6), ('G', 6), ('H', 6), ('I', 6), ('J', 6), ('K', 5), ('u', 15), ('v', 13), ('w', 10), ('x', 10), ('y', 10), ('z', 9), ('L', 3), ('M', 3), ('N', 3), ('O', 3), ('P', 3), ('Q', 3), ('R', 2), ('S', 2), ('T', 2), ('U', 2), ('V', 2), ('W', 2), ('X', 2), ('Y', 2), ('Z', 2), ('aa', 2), ('ab', 2), ('ac', 2), ('ad', 2), ('ae', 2), ('af', 2), ('ag', 2), ('ah', 2), ('ai', 2), ('aj', 2), ('ak', 2), ('al', 2), ('am', 2), ('an', 1), ('ao', 1), ('ap', 1), ('aq', 1), ('ar', 1), ('as', 1), ('at', 1), ('au', 1), ('av', 1), ('aw', 1), ('ax', 1), ('ay', 1), ('az', 1), ('txt', 1), ('url', 1), ('Url', 1), ('str', 1), ('img', 1), ('top', 1), ('buy', 1), ('des', 1), ('obfuscation-score', 0.2924470575189864)]",1953,41,113,389,0,0,0,"[('java.lang.reflect.Modifier', 1), ('java.lang.reflect.Array', 2), ('java.lang.reflect.Field', 1)]"
cn.ssdl.bluedict,"[('_', 1), ('__', 1), ('___', 1), ('I', 6), ('a', 1359), ('b', 555), ('c', 373), ('d', 276), ('k', 70), ('l', 59), ('m', 52), ('t', 22), ('u', 21), ('e', 202), ('f', 152), ('g', 126), ('h', 104), ('i', 98), ('j', 80), ('n', 42), ('o', 39), ('p', 36), ('q', 36), ('r', 29), ('s', 25), ('v', 19), ('w', 17), ('x', 14), ('run', 94), ('A', 13), ('B', 12), ('C', 11), ('D', 10), ('E', 9), ('F', 8), ('G', 7), ('y', 13), ('z', 12), ('K', 5), ('L', 5), ('M', 5), ('N', 5), ('O', 5), ('P', 5), ('H', 5), ('J', 5), ('Q', 4), ('R', 4), ('S', 4), ('T', 4), ('U', 4), ('V', 4), ('W', 4), ('X', 4), ('Y', 4), ('Z', 4), ('aa', 4), ('ab', 4), ('ac', 4), ('ad', 4), ('ae', 4), ('af', 3), ('ag', 3), ('ah', 3), ('ai', 3), ('aj', 3), ('ak', 2), ('al', 2), ('am', 2), ('an', 2), ('ao', 2), ('ap', 2), ('aq', 2), ('ar', 2), ('as', 2), ('aA', 1), ('aB', 1), ('aC', 1), ('aD', 1), ('aE', 1), ('aF', 1), ('aG', 1), ('aH', 1), ('aI', 1), ('aJ', 1), ('aK', 1), ('aL', 1), ('aM', 1), ('aN', 1), ('aO', 1), ('aP', 1), ('aQ', 1), ('aR', 1), ('aS', 1), ('aT', 1), ('aU', 1), ('aV', 1), ('aW', 1), ('aX', 1), ('aY', 1), ('aZ', 1), ('at', 1), ('au', 1), ('av', 1), ('aw', 1), ('ax', 1), ('ay', 1), ('az', 1), ('bA', 1), ('bB', 1), ('ba', 1), ('bb', 1), ('bc', 1), ('bd', 1), ('be', 1), ('bf', 1), ('bg', 1), ('bh', 1), ('bi', 1), ('bj', 1), ('bk', 1), ('bl', 1), ('bm', 1), ('bn', 1), ('bo', 1), ('bp', 1), ('bq', 1), ('br', 1), ('bs', 1), ('bt', 1), ('bu', 1), ('bv', 1), ('bw', 1), ('bx', 1), ('by', 1), ('bz', 1), ('OS', 1), ('No', 1), ('Yes', 1), ('obfuscation-score', 0.5585682433436151)]",3988,117,96,107,0,0,0,"[('java.lang.reflect.Method', 5), ('java.lang.reflect.Constructor', 4), ('java.lang.reflect.Field', 3)]"
