package-name,nop,move,move/from16,move/16,move-wide,move-wide/from16,move-wide/16,move-object,move-object/from16,move-object/16,move-result,move-result-wide,move-result-object,move-exception,return-void,return,return-wide,return-object,const/4,const/16,const,const/high16,const-wide/16,const-wide/32,const-wide,const-wide/high16,const-string,const-string-jumbo,const-class,monitor-enter,monitor-exit,check-cast,instance-of,array-length,new-instance,new-array,filled-new-array,filled-new-array-range,fill-array-data,throw,goto,goto/16,goto/32,packed-switch,sparse-switch,cmpl-float,cmpg-float,cmpl-double,cmpg-double,cmp-long,if-eq,if-ne,if-lt,if-ge,if-gt,if-le,if-eqz,if-nez,if-ltz,if-gez,if-gtz,if-lez,unused_3E,unused_3F,unused_40,unused_41,unused_42,unused_43,aget,aget-wide,aget-object,aget-boolean,aget-byte,aget-char,aget-short,aput,aput-wide,aput-object,aput-boolean,aput-byte,aput-char,aput-short,iget,iget-wide,iget-object,iget-boolean,iget-byte,iget-char,iget-short,iput,iput-wide,iput-object,iput-boolean,iput-byte,iput-char,iput-short,sget,sget-wide,sget-object,sget-boolean,sget-byte,sget-char,sget-short,sput,sput-wide,sput-object,sput-boolean,sput-byte,sput-char,sput-short,invoke-virtual,invoke-super,invoke-direct,invoke-static,invoke-interface,unused_73,invoke-virtual/range,invoke-super/range,invoke-direct/range,invoke-static/range,invoke-interface-range,unused_79,unused_7A,neg-int,not-int,neg-long,not-long,neg-float,neg-double,int-to-long,int-to-float,int-to-double,long-to-int,long-to-float,long-to-double,float-to-int,float-to-long,float-to-double,double-to-int,double-to-long,double-to-float,int-to-byte,int-to-char,int-to-short,add-int,sub-int,mul-int,div-int,rem-int,and-int,or-int,xor-int,shl-int,shr-int,ushr-int,add-long,sub-long,mul-long,div-long,rem-long,and-long,or-long,xor-long,shl-long,shr-long,ushr-long,add-float,sub-float,mul-float,div-float,rem-float,add-double,sub-double,mul-double,div-double,rem-double,add-int/2addr,sub-int/2addr,mul-int/2addr,div-int/2addr,rem-int/2addr,and-int/2addr,or-int/2addr,xor-int/2addr,shl-int/2addr,shr-int/2addr,ushr-int/2addr,add-long/2addr,sub-long/2addr,mul-long/2addr,div-long/2addr,rem-long/2addr,and-long/2addr,or-long/2addr,xor-long/2addr,shl-long/2addr,shr-long/2addr,ushr-long/2addr,add-float/2addr,sub-float/2addr,mul-float/2addr,div-float/2addr,rem-float/2addr,add-double/2addr,sub-double/2addr,mul-double/2addr,div-double/2addr,rem-double/2addr,add-int/lit16,sub-int/lit16,mul-int/lit16,div-int/lit16,rem-int/lit16,and-int/lit16,or-int/lit16,xor-int/lit16,add-int/lit8,sub-int/lit8,mul-int/lit8,div-int/lit8,rem-int/lit8,and-int/lit8,or-int/lit8,xor-int/lit8,shl-int/lit8,shr-int/lit8,ushr-int/lit8,unused_E3,unused_E4,unused_E5,unused_E6,unused_E7,unused_E8,unused_E9,unused_EA,unused_EB,unused_EC,unused_ED,execute-inline,unused_EF,invoke-direct-empty,unused_F1,iget-quick,iget-wide-quick,iget-object-quick,iput-quick,iput-wide-quick,iput-object-quick,invoke-virtual-quick,invoke-virtual-quick/range,invoke-super-quick,invoke-super-quick/range,unused_FC,unused_FD,UNUSED_FE,UNUSED_FF,
com.clearvisions.explorer,348,8154,934,0,222,121,0,3833,3458,0,24633,2161,42581,3791,16191,5581,419,8543,24677,6271,1806,1132,1261,140,165,107,19301,0,406,836,1882,6081,819,1309,12823,2484,7,0,262,3267,17634,2747,0,391,272,392,182,25,26,893,1388,2355,803,2119,265,504,16717,7894,596,426,203,1102,0,0,0,0,0,0,982,50,932,63,742,111,3,1054,37,3409,22,531,40,8,31234,1188,74086,3080,62,35,45,15611,802,10641,2803,33,24,33,1531,169,6368,217,0,2,0,290,76,2663,152,0,2,0,69404,1737,21180,22617,9869,0,856,30,774,268,0,0,0,140,0,4,0,118,11,589,1095,31,206,42,99,370,3,191,58,9,79,429,30,19,369,612,31,13,11,33,46,49,27,7,2,32,107,9,20,15,4,5,7,9,7,13,101,192,59,100,4,14,19,33,19,0,2097,792,77,11,12,4753,1883,5440,27,3,2,356,168,67,34,25,128,49,21,60,16,14,491,315,622,250,6,45,23,86,68,0,70,0,19,13,1,697,46,0,4342,0,331,227,19,424,48,3023,512,117,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.vg.eurobusdriver3duphillsim,291,3909,1550,0,145,175,0,4164,4872,0,20498,1693,49178,5177,21252,5334,316,11519,24068,5805,1432,912,937,92,185,195,26000,0,1275,1173,2610,7767,868,1270,17334,1999,1,0,143,4765,16555,2049,0,390,187,203,80,81,56,434,841,1532,666,1452,177,341,15945,10269,287,243,168,872,0,0,0,0,0,0,552,50,707,2,395,15,1,520,27,3141,1,612,13,0,28079,939,77507,2661,0,19,0,14293,631,14876,2513,0,11,0,620,25,9581,1635,0,3,0,1591,23,3704,974,0,1,0,65454,1273,27241,28766,12682,0,824,14,742,365,0,0,0,33,0,4,0,29,4,277,698,198,96,28,41,275,6,92,90,9,46,327,28,5,241,307,41,12,2,21,25,0,9,0,0,60,115,20,12,11,7,6,6,5,1,18,56,88,97,118,2,4,18,8,39,0,1111,325,82,22,11,4623,1613,5332,3,0,0,136,108,63,34,15,52,19,21,20,0,15,147,76,393,178,3,58,38,140,96,0,51,0,39,17,1,470,26,0,2489,0,330,214,11,196,38,2996,319,51,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.mautilus.icflix,352,5352,4526,0,339,422,0,5538,10894,0,32037,3798,72464,5783,28330,9430,853,20903,35730,8472,1560,1055,1923,141,248,196,26640,0,1564,1370,2941,11085,2272,2531,22162,3208,4,0,297,6632,24299,2346,0,527,238,270,102,106,50,1136,1869,3457,959,2977,321,586,22669,12342,656,633,287,1280,0,0,0,0,0,0,863,141,1437,29,422,187,26,983,81,4455,14,260,78,5,9489,2001,56715,2949,14,69,25,5300,1171,17519,2637,22,44,23,2001,21,11135,565,0,1,0,192,21,4412,290,0,0,0,93557,2536,37225,34129,20339,0,3130,36,1418,923,0,0,0,76,0,7,0,36,8,739,772,90,285,40,80,317,7,122,66,19,61,246,56,33,705,750,87,41,24,129,58,11,38,2,5,77,179,26,24,7,22,9,10,9,35,41,151,186,163,157,4,40,49,83,42,0,1723,517,137,17,10,209,258,97,22,7,2,285,177,67,41,9,174,74,67,87,17,16,200,103,350,111,4,57,22,113,56,0,64,0,22,25,7,344,49,2,5244,0,548,219,35,442,110,54,237,163,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.shofwatuna.magazine.AOVIDBXMHBCQYFOP,9,147,2062,0,0,816,0,80,3225,0,3671,410,2458,94,790,293,23,333,1516,301,187,706,38,0,60,56,573,0,10,13,28,310,5,40,1189,102,0,0,13,14,574,281,0,6,2,98,62,27,28,4,64,168,94,23,4,12,709,368,71,58,51,59,0,0,0,0,0,0,43,0,158,31,1,2,0,61,0,67,42,2,1,0,1037,39,3759,86,0,0,12,256,43,921,172,0,0,6,485,0,1825,21,0,0,0,104,0,339,97,0,0,0,5891,38,1489,1585,192,0,1079,2,143,101,0,0,0,7,0,0,0,12,0,16,510,197,10,0,0,249,0,568,170,0,76,2,0,6,24,69,1,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,234,232,248,161,0,247,175,323,83,0,19,22,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,312,140,162,225,0,13,15,19,29,0,0,0,18,9,0,7,0,0,282,0,51,138,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
online.sketchwar.io,296,3758,1292,0,112,92,0,3853,3598,0,16002,1422,33594,3629,15063,4364,282,9178,19242,5225,245,490,573,68,115,70,15737,0,227,780,1788,5309,677,883,9969,1312,0,0,91,3329,12784,1848,0,394,300,156,56,29,18,318,821,954,474,1200,96,185,10858,4444,213,137,109,513,0,0,0,0,0,0,340,45,447,4,290,7,0,207,21,2221,1,283,10,0,26479,811,57839,1781,11,19,0,13477,476,7939,1560,7,11,0,406,8,4211,171,0,0,0,58,8,2258,82,0,0,0,48475,726,16468,23089,10878,0,763,11,667,255,0,0,0,28,0,2,0,12,2,97,380,24,56,17,20,198,5,41,10,4,23,299,6,2,194,233,20,6,1,18,15,0,7,0,0,21,62,10,2,8,1,0,6,1,1,12,56,78,62,84,2,4,11,6,15,0,877,161,36,8,3,4614,1579,5329,3,0,0,89,44,40,6,14,52,19,26,20,0,20,103,42,229,58,3,32,11,55,22,0,33,0,5,5,1,386,25,0,1638,0,220,67,6,131,31,2994,273,27,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.closecrowd.lokpixlite,41,698,32,0,4,0,0,190,106,0,1695,50,2604,313,1070,420,8,294,2012,309,511,156,32,1,3,0,1155,0,31,63,129,433,18,48,976,124,0,0,18,184,1197,317,0,51,19,63,15,0,0,15,104,194,59,177,12,56,1212,637,60,34,31,123,0,0,0,0,0,0,51,0,50,0,11,1,0,39,0,102,0,18,0,0,985,3,4481,449,5,0,0,572,5,1047,462,6,0,0,32,0,208,62,0,4,0,1,0,98,4,0,0,0,5246,163,1654,1552,329,0,59,1,17,12,0,0,0,12,0,0,0,2,0,12,152,0,10,1,0,97,0,4,1,0,4,18,0,0,30,75,5,0,0,0,3,0,2,0,0,2,2,3,1,0,0,0,0,0,0,0,8,22,4,14,0,0,0,0,0,0,83,65,2,1,0,27,21,3,2,0,0,8,1,0,1,0,0,0,0,0,0,0,59,25,74,25,0,0,0,3,0,0,2,0,1,3,0,19,0,0,324,0,6,14,3,30,13,4,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.piratemedia.handcarved,0,0,0,0,0,0,0,10,0,0,17,0,56,3,34,2,2,10,27,1,7,4,0,0,0,0,13,0,0,0,0,17,0,2,12,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,40,3,0,0,0,1,0,16,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,93,5,34,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netroken.android.persistfree,470,7651,4705,0,384,474,0,6981,11374,0,42237,3709,85411,7749,35970,13091,910,27048,46758,14864,2009,1942,2173,188,413,270,38692,0,1683,1792,3956,13038,2480,3619,28042,9301,8,0,379,8930,32003,3122,0,602,337,388,159,107,80,1559,2534,4689,1295,3915,467,880,28253,15469,995,826,413,1713,0,0,0,0,0,0,1247,207,2114,125,647,284,52,1390,72,20980,42,430,149,13,36336,2092,100459,4319,88,133,38,18843,1344,21348,4004,98,68,23,2792,56,12251,482,1,3,1,207,47,5281,294,0,0,0,113849,3078,47101,44416,26681,0,2890,43,1508,872,0,0,0,201,0,20,0,60,9,808,1361,111,267,54,70,438,5,159,91,20,74,446,71,38,1190,1204,102,55,30,135,32,15,46,9,3,157,247,37,29,25,33,22,16,33,24,40,168,261,161,170,12,42,58,78,45,0,2548,890,124,39,26,4815,1852,5472,29,8,3,437,187,115,76,25,164,61,107,89,32,23,338,144,522,215,7,73,35,129,79,4,71,0,30,9,2,695,137,3,7363,0,674,423,51,836,310,3055,403,111,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.free.appcontactsearch,250,2937,478,0,76,54,0,2566,1681,0,10859,900,23611,2953,9751,3114,249,6786,15115,4123,319,214,356,47,30,26,12020,0,139,411,904,3416,537,657,7317,1129,0,0,16,2967,9005,1426,0,325,294,44,21,21,28,247,652,577,158,899,62,94,6935,2711,138,75,85,350,0,0,0,0,0,0,107,13,349,1,280,1,0,106,9,2162,0,267,9,0,25226,745,48983,1018,0,0,6,12986,414,5535,898,0,0,3,196,16,3451,87,0,0,0,8,8,1632,18,0,0,0,36816,455,11381,16790,7928,0,422,6,344,124,0,0,0,8,0,2,0,2,0,57,172,12,39,2,13,83,2,16,3,7,4,268,5,2,90,90,2,2,1,3,6,0,9,0,0,1,13,6,1,4,0,0,0,1,8,7,22,21,17,22,8,0,3,0,1,0,545,87,13,2,0,4566,1547,5319,0,0,0,33,25,13,1,12,22,9,17,9,0,11,48,13,55,25,2,14,5,10,9,4,28,0,6,3,3,368,2,0,924,0,175,54,6,52,23,2990,222,8,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.atlogis.spain,423,8264,975,0,463,373,0,4292,5790,0,23521,4097,40171,3896,18704,6030,472,8898,25076,4852,655,1301,1361,74,1268,837,17092,0,560,901,2021,6680,930,1132,12163,1937,2,0,238,2982,17962,2598,0,544,300,444,174,283,338,566,1331,1950,855,2005,221,462,17773,7658,569,556,272,1253,0,0,0,0,0,0,837,257,820,8,316,11,3,662,134,2082,10,291,11,0,32725,2768,79982,3409,0,36,0,15931,1839,11630,3090,0,26,0,3804,20,4485,225,0,0,0,99,16,1914,108,0,0,0,69517,2218,21304,23705,10138,0,1209,45,924,569,0,0,0,210,0,2,0,97,98,292,1604,175,127,34,52,418,4,317,126,16,152,314,14,0,336,627,34,21,13,35,15,1,15,1,0,36,108,7,18,11,2,3,7,6,2,21,78,226,69,107,2,137,260,446,266,5,1690,758,143,25,5,4677,1711,5336,17,1,0,158,87,53,20,19,83,43,21,43,0,9,454,257,560,236,13,471,394,1211,325,8,34,0,17,8,2,412,27,0,3310,0,263,216,25,354,58,3017,304,118,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.icon.pln123,208,3181,1697,0,140,103,0,2053,3593,0,15016,1811,35593,2807,10453,3858,354,6838,16614,6033,371,737,1077,80,643,1021,21596,0,344,501,1120,7529,609,935,9718,1665,0,0,80,3260,10031,1694,0,232,170,156,73,92,46,608,662,1197,741,1191,123,458,8816,4721,379,273,150,708,0,0,0,0,0,0,398,43,701,4,198,53,1,564,32,2408,8,1407,24,0,4063,690,27402,1451,2,31,1,2133,371,7015,1238,2,17,2,750,24,9635,285,0,0,0,186,13,2150,250,0,0,0,54738,1057,14066,17642,6366,0,1169,7,407,406,0,0,0,38,0,7,0,20,5,418,437,1159,139,12,23,231,3,627,1212,5,57,124,11,10,275,350,19,8,2,28,41,1,14,1,3,36,85,7,9,9,3,17,0,8,10,18,66,105,125,87,10,19,18,21,31,0,1115,298,45,4,5,89,131,20,5,0,1,126,127,13,14,4,99,57,6,35,1,7,145,83,322,58,5,233,673,1325,139,4,43,0,14,4,0,236,49,0,2745,0,234,169,26,229,36,27,157,94,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.aqua.apps.sher.shayari.collection,37,534,106,0,7,27,0,432,434,0,1554,75,3579,717,1511,376,14,591,2309,920,133,75,93,35,5,4,2153,0,51,189,425,544,78,81,1232,160,0,0,3,515,1546,251,0,28,30,23,10,1,0,42,121,126,79,128,12,29,1160,554,22,14,17,46,0,0,0,0,0,0,14,0,94,0,277,0,0,49,0,260,0,266,0,0,22858,93,36769,224,0,0,0,11376,59,1020,226,0,0,0,80,3,481,7,0,0,0,17,2,188,13,0,0,0,5832,88,1935,2455,861,0,80,0,66,21,0,0,0,3,0,0,0,1,0,11,97,2,6,1,0,40,1,6,0,3,2,200,0,0,14,33,2,0,1,8,3,0,1,0,0,0,3,2,0,3,0,0,0,0,0,0,7,11,3,13,0,0,0,0,0,0,50,33,9,0,0,4429,1523,5319,0,0,0,13,15,6,0,12,1,0,0,0,0,1,33,15,47,23,0,0,0,4,2,0,2,0,1,1,1,411,2,0,191,0,2,10,2,15,5,2978,204,69,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.nom.obdiicodesdemo,95,1316,294,0,36,64,0,1267,1647,0,4466,489,11903,1627,4370,991,69,2359,6239,1725,111,81,234,31,31,21,5679,0,83,458,1041,1594,231,313,3396,396,0,0,12,1291,4505,656,0,101,92,10,6,6,5,131,224,317,138,385,32,77,4369,1753,91,54,26,153,0,0,0,0,0,0,170,24,194,0,282,1,0,84,11,449,0,279,0,0,23869,324,44507,862,0,0,0,11860,180,3353,695,0,0,0,125,8,946,86,0,0,0,32,7,555,30,0,0,0,16918,304,5251,7440,3562,0,169,5,251,71,0,0,0,3,0,1,0,1,2,58,42,5,26,2,3,17,1,14,3,3,9,294,3,0,28,24,2,1,1,2,0,0,4,0,0,16,29,6,0,5,1,0,6,1,1,12,0,5,4,7,0,0,0,0,0,0,386,39,19,6,2,4566,1547,5323,0,0,0,59,25,28,4,14,28,19,14,19,0,6,26,3,49,16,0,0,1,4,5,0,13,0,1,2,0,356,22,0,725,0,76,17,1,56,2,2984,249,16,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.ufo.workout,176,4584,680,0,68,91,0,2297,2406,0,12577,719,19473,2064,9255,3066,99,4044,12825,2524,505,579,344,39,64,42,7644,0,181,566,1313,3307,513,441,5704,773,0,0,113,1682,9278,1108,0,193,156,178,55,11,8,173,794,1195,461,1015,116,232,9628,3960,295,167,78,492,0,0,0,0,0,0,488,27,314,1,283,6,0,353,14,570,1,280,0,0,27561,402,56728,1931,0,16,0,13547,253,5969,1692,0,13,0,916,11,1793,124,0,0,0,40,8,1015,63,0,0,0,33643,965,9907,11337,5588,0,433,19,374,141,0,0,0,117,0,1,0,55,7,92,468,6,33,12,7,225,2,103,26,3,35,296,3,0,159,381,15,9,6,14,6,1,10,0,0,20,41,6,2,5,2,3,7,5,1,12,42,76,29,51,0,13,16,30,11,0,1138,527,43,10,4,4620,1635,5331,6,0,0,76,31,29,3,14,43,23,18,24,0,9,198,88,242,97,3,24,13,50,9,0,15,0,3,3,0,384,24,0,1733,0,112,95,7,246,26,2999,262,25,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.llamalab.automate.ext.superuser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
